file,folder,relpath,date,material,sample,zone,site,kind,rep,label,run,PL_WS2_peak_eV,PL_WS2_peak_nm,PL_WS2_Imax,PL_WS2_fwhm_meV,label_parsed,label_vs_fit_diff,Si_pos_raw,calib_shift,WS2_2LA_E2g_raw,WS2_2LA_E2g_cal,WS2_2LA_E2g_fwhm,WS2_2LA_E2g_height,WS2_A1g_raw,WS2_A1g_cal,WS2_A1g_fwhm,WS2_A1g_height,WS2_I2LA_over_IA1g,PL_MoS2_peak_eV,PL_MoS2_peak_nm,PL_MoS2_Imax,PL_MoS2_fwhm_meV,MoS2_E2g_raw,MoS2_E2g_cal,MoS2_E2g_fwhm,MoS2_E2g_height,MoS2_A1g_raw,MoS2_A1g_cal,MoS2_A1g_fwhm,MoS2_A1g_height,MoS2_delta,MoS2_layers_est,MoS2_A1g_over_Si
"260220 WS2 #1 Z1-1 PL (1L, H).txt",260220 [WS2],"260220 [WS2]\260220 WS2 #1 Z1-1 PL (1L, H).txt",260220,WS2,1,Z1,1,PL,1,"1L, H",260220 WS2 #1,2.048,605.448,4838.978,70.168,"1L, H",,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z1-1 Raman (416.99).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z1-1 Raman (416.99).txt,260220,WS2,1,Z1,1,Raman,1,416.99,260220 WS2 #1,,,,,A1g=416.99,0.0,520.306,0.394,353.288,353.682,15.453,817.383,416.99,417.384,6.491,80.862,10.108,,,,,,,,,,,,,,,
"260220 WS2 #1 Z1-2 PL (1L, H).txt",260220 [WS2],"260220 [WS2]\260220 WS2 #1 Z1-2 PL (1L, H).txt",260220,WS2,1,Z1,2,PL,1,"1L, H",260220 WS2 #1,2.049,604.949,7437.912,66.745,"1L, H",,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z1-2 Raman (417.85).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z1-2 Raman (417.85).txt,260220,WS2,1,Z1,2,Raman,1,417.85,260220 WS2 #1,,,,,A1g=417.85,-1.321,519.727,0.973,352.893,353.866,14.907,865.279,416.529,417.502,7.338,87.636,9.874,,,,,,,,,,,,,,,
260220 WS2 #1 Z2-1 PL (1L).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z2-1 PL (1L).txt,260220,WS2,1,Z2,1,PL,1,1L,260220 WS2 #1,2.05,604.783,4811.245,69.614,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z2-1 Raman (417.85).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z2-1 Raman (417.85).txt,260220,WS2,1,Z2,1,Raman,1,417.85,260220 WS2 #1,,,,,A1g=417.85,-0.722,519.646,1.054,352.166,353.22,13.716,1106.216,417.128,418.181,7.57,125.334,8.826,,,,,,,,,,,,,,,
260220 WS2 #1 Z2-2 PL (1L).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z2-2 PL (1L).txt,260220,WS2,1,Z2,2,PL,1,1L,260220 WS2 #1,2.047,605.614,4467.209,69.818,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z2-2 Raman (417.85).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z2-2 Raman (417.85).txt,260220,WS2,1,Z2,2,Raman,1,417.85,260220 WS2 #1,,,,,A1g=417.85,-1.048,519.607,1.093,351.851,352.943,13.136,1536.722,416.802,417.895,8.951,212.534,7.23,,,,,,,,,,,,,,,
260220 WS2 #1 Z3-1 PL (1L).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z3-1 PL (1L).txt,260220,WS2,1,Z3,1,PL,1,1L,260220 WS2 #1,2.047,605.614,2747.187,73.258,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z3-1 Raman (416.99).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z3-1 Raman (416.99).txt,260220,WS2,1,Z3,1,Raman,1,416.99,260220 WS2 #1,,,,,A1g=416.99,-0.216,519.56,1.14,351.592,352.732,13.539,1333.933,416.774,417.914,7.848,183.622,7.265,,,,,,,,,,,,,,,
